# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Clone;克隆
Smudge;污点
Rectangle Select;矩形选择
Ellipse Select;椭圆选择
Flood Fill;填满
Wand Select;选择魔杖
Lasso Select;拉索选择
Polygon Select;多边形选择
Face Select;面部选择
UV Island Select;紫外线岛选择
Mesh Select;网格选择
Color Sampler;颜色样本
Light Controller;轻型控制器
Focus;焦点
Decal;解码
Select and Edit Shapes;选择和编辑形状
Select and Edit Points;选择和编辑点
Pen;笔
Curve;曲线
Rectangle;矩形
Ellipse;椭圆
Polygon;多边形
Sketch;缩写
Tile Strip;砖条
Enable vector point snapping;启用矢量点按键
Snap points to the grid (decal mode only);坐标点到网格( 仅以十进制模式)
Snap points to other vector shape points;连接到其它矢量形状点
Snap to vector shape borders between points;点间与矢量形状边框对齐
Snap points to the plane or axis of symmetry;坐标指向对称的平面或轴
Import Model;导入模式
New Light;新光线
New Camera;新建相机
New Fog;新建雾
New Backdrop;新建后空投
New Shadow Catcher;新建阴影捕捉器
New Bake Project;新巴克项目
New Turntable;新建旋转式
Presentation;列报
Delete Selection;删除选择
Filter Scene Objects;过滤场景对象
This interface is disabled because the selected object is locked.;此接口因选定对象被锁定而禁用 。
Anti-aliasing provides a reduction of undersampling artifacts such as jagged edges, at a modest performance cost.;反变相可以减少凹槽边缘等底样文物,性能成本不高.
Sets the method by which images are rendered for each eye. Some modes may require special hardware.;设定为每个眼睛渲染图像的方法。 一些模式可能需要特殊的硬件.
Swaps the left and right eye images.;将左右眼影相换.
Specifies the separation between the eyes of the viewer, in scene units. Greater values will make the scene appear "smaller".;指定在场景单位中将观众的眼睛分开。 更大的值会使场景出现"较小".
Enables polygon edge display.;启用多边形边缘显示 。
Controls the intensity of the wireframe effect.;控制线框效应的强度。
Sets the color of the wireframe effect.;设置线框效果的颜色。
Displays the tile name in the canvas.;在画布中显示瓷砖名称。
Displays the tile border in the canvas.;在画布中显示瓷砖边框。
Sets a divisor for the speed of light in the atmosphere. This setting only applies to materials which use the refractive index reflectivity model.;为大气层中的光速设置一个偏移器。 此设置仅适用于使用折射指数反射模型的材料.
Enables refractions inside of objects.;启用对象内部的折射。
Enables an approximation of inter-object reflections, which can improve the quality of reflective surfaces. This effect only applies to raster renders.;启用对象间反射的近似,可以提高反射表面的质量. 这种效果只适用于光栅制造。
Adjusts the brightness of local reflections.;调整本地反射的亮度。
Enables an approximation of diffuse light scattering between objects. This effect only applies to raster renders.;启用物体间散射光散的近似值。 这种效果只适用于光栅制造。
Adjusts the brightness of local diffuse light.;调整局部散射光的亮度。
Adjusts the falloff length of local diffuse light. This value is not in scene units but rather a ratio with camera distance.;调整局部散射光的掉落长度。 这个值不是在场景单位中,而是有相机距离的比例.
Controls the resolution of all shadow maps, for improved detail and precision. Higher settings have an adverse effect on performance.;控制所有阴影图的解析度,以提高细节和精度. 较高设置对性能有不利影响.
Adds a small spatial offset between shadows and shadow casters. This can be useful for tweaking shadow artifacts in difficult cases.;添加阴影和阴影铸造器之间的小空间偏移。 这对于在困难情况下对影子文物进行微调有用.
Enables cascading shadows for higher quality directional lights in large scenes.;在大场景中为质量更高的方向灯启用串联阴影.
Enables an inter-object light occlusion approximation. This effect only applies to raster renders.;启用对象间光闭合近似。 这种效果只适用于光栅制造。
The occlusion effect darkens diffuse light from the sky background.;隐蔽效应使天空背景的散射光变暗.
The occlusion effect darkens diffuse light from all sources. This setting overrides the "Ambient" option.;隐蔽效应使所有来源的散射光变暗. 此设置将覆盖“ 角度” 选项 。
The occlusion effect darkens specular light. The occlusion color hue is not used for specular occlusion.;闭塞效应暗射光谱. 隔膜色调不用于光谱隔膜.
Sets the color of the ambient occlusion effect.;设置环境隔离效应的颜色。
Sets the intensity of the ambient occlusion effect.;设定环境隔离效应的强度。
Sets the spread of the ambient occlusion effect.;设置环境隔离效应的传播。
Controls the ambient occlusion ray length.;控制环境闭塞射线长度。
Controls the ambient occlusion ray offset from surface.;控制从表面抵消的环境隔离射线。
Enables ambient occlusion in viewport.;允许在视野内进行环境隔离。
Controls the number of ambient occlusion rays used in sampling.;控制取样中使用的环境隔离射线的数量。
Mixes between a volumetric medium that is lit by the sky background, and a simple ambient color.;由天空背景点燃的音量介质和简单的环境颜色混合。
Controls the brightness of omni, spot, and directional light sources in the medium.;控制介质中的omni,spot,和方向光源的亮度.
Enables path traced global illumination, which simulates bounces of light between objects in a scene.;启用跟踪路径环球照明, 它模拟一个场景中物体之间的光弹跳 。
Progressively improves viewport preview quality by accumulating frames over time.;随着时间的推移,通过累积帧逐渐提高视图预览质量.
Applies noise reduction in the viewport preview, once several frames have accumulated.;在视图预览中应用降噪,一旦数帧累积.
Noise reduction mode in the viewport preview. GPU mode requires a supported NVIDIA graphics adapter.;视图预览中的降噪模式. GPU模式需要支持的NVIDIA图形适配器.
Noise reduction quality level in the viewport preview.;视图预览中降噪质量级别.
Automatically adjusts number of accumulated samples per frame while trying to maintain target frame rate. When disabled only 1 sample is accumulated per frame.;在试图保持目标帧率的同时,自动调整每个帧累积样本的数量. 当禁用时,每个框架只累积一个样本。
Number of indirect light bounces to trace.;间接光弹回追踪的次数。
Number of transmission light bounces to trace. Increasing this value might help if transmissive objects appear too dark.;传送光弹回追踪的次数。 如果传送对象看起来太暗,增加这一值可能会有所帮助。
Reduces noise in scenes with many lights. Has moderate impact on render time and viewport performance.;减少场景中的噪音,并带有许多灯光. 对渲染时间和景点性能有中度影响.
Maximum allowed sample direct radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;最大允许样品直接光度。 降低这一值可以减少萤火虫,但如果定得太低,会对照明质量产生不利影响。
Maximum allowed sample indirect radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;最大允许的样本间接光度 。 降低这一值可以减少萤火虫,但如果定得太低,会对照明质量产生不利影响。
Intensity of diffuse indirect lighting.;扩散间接照明强度.
Intensity of reflected indirect lighting.;反映的间接照明强度。
Determines the primary direction of scattering in fog, either forwards (positive) or backwards (negative). A value of zero is even, isotropic scattering.;确定雾中散落的主要方向,或是前向(正向)或是后向(负向). 零值是均匀的,异热带散射。
Applies image upscaling algorithm to speed up rendering times while maintaining image quality.;应用图像提升算法来加快渲染时间,同时保持图像质量.
Displays the viewport render resolution.;显示视图端口使解析度。
Displays the width of the viewport render resolution.;显示视图端口的宽度
Displays the height of the viewport render resolution.;显示视图端口的高度
Choose between different NVIDIA's Deep Learning Super Sampling (DLSS) modes which impacts upscaling quality and performance.;在不同的 NVIDIA 深层学习超级采样模式中选择影响提升质量和性能的模式 。
Choose between different NVIDIA's Image Scaling (NIS) modes which impacts upscaling quality and performance and allows for different parameter controls.;在不同的NVIDIA的图像缩放(NIS)模式中选择,这些模式影响提升质量和性能,并允许不同的参数控制.
Sets the render resolution scale of the NIS algorithm. (Scale mode only);设置 NIS 算法的渲染分辨率尺度。 (仅限比例模式)
Sets the sharpness of the NIS algorithm.;设置 NIS 算法的锐度 。
Sets the sharpness of the FSR algorithm.;设置 FSR 算法的锐度 。
Sets whether the 'Rendered in Marmoset Toolbag' watermark is displayed.;设定是否显示 Marmoset Toolbag 水印 。
Controls how large the watermark appears.;控制水印的大小 。
Determines whether to use the light or dark watermark image. The dark watermark image provides better readability with bright scenes.;确定是使用光线还是暗水标记图像。 暗水印图像以明亮的场景提供更好的可读性.
Determines whether to use a monotone or colored watermark.;确定是使用单色还是彩色水印。
Sets the horizontal position of the watermark.;设置水印的横向位置。
Sets the vertical position of the watermark.;设置水印的垂直位置。
Enables the display of Scale Reference Teddy.;允许显示缩放引用泰迪。
Sets scale reference color.;设置比例参考颜色。
Enables the display of guide icons for objects such as cameras and lights.;允许显示相机和灯光等对象的引导图标。
Enables Hybrid mode's denoiser.;启用混合模式的 denoiser.
Intensity of denoising direct illumination.;大力打消直接照明.
Intensity of denoising diffuse GI.;强烈的消遣扩散GI。
Intensity of denoising specular reflection.;调伏光谱反射强度.
Choose between low quality sampling with more noise but more performant rendering and high quality sampling with less noies but slower rendering.;选择低质量采样、噪音较大但性能较强的渲染和高质量采样、噪声较少但渲染较慢两种方法。
Number of diffuse GI bounces to trace.;分散的GI弹跳次数
Number of specular reflection bounces to trace.;光谱反射数回弹追踪.
Enables ray traced diffuse GI.;启用射线追踪扩散 GI 。
Enables ray traced specular reflection.;启用射线跟踪光谱反射 。
Enables ray traced refraction.;启用射线跟踪折射 。
Number of specular refraction bounces to trace.;光谱折射数反弹追踪.
Maximum allowed radiance. Decreasing this value can reduce fireflies but when set too low it negatively impacts lighting quality.;最大允许光度 。 降低这一值可以减少萤火虫,但如果定得太低,会对照明质量产生不利影响。
The target space (object, tangent, or view) to visualize normals.;目标空间(对象,正切,或视图)可视化正常.
Inverts normals on the X axis, or red channel of the material texture.;在X轴上反转正常,或物质纹理的红色通道.
Inverts normals on the Y axis, or green channel of the material texture.;颠倒Y轴上的正常,或物质纹理的绿色通道.
Inverts normals on the Z axis, or blue channel of the material texture.;在Z轴上颠倒正常,或物质纹理的蓝色通道.
Show backfaces when rendering wireframes.;在渲染线框时显示背面.
The method by which depth values will be normalized.;深度值正常化的方法 。
The method by which position values will be normalized.;定位值正常化的方法 。
Enables dithering for 8 bit outputs.;启用 8 位输出的抖动 。
Takes into account an object's reflectivity in albedo calculation, showing the raw albedo value fed to lighting calculations.;在反照率计算中考虑到物体的反照率,显示为照明计算提供的原始反照率值。
Use material albedo in this lighting pass. When this option is disabled lighting calculations use neutral (white) albedo.;使用材料反照率 在这个照明通道。 当此选项被禁用时, 使用中性( 白色) 反照率计算 。
Include single bounce of scattering transmission in this lighting pass.;将散射传输的单弹跳 包含在这个照明通道。
Include refraction and thin surface transmission in this lighting pass.;在此照明通道中包含折射和薄表面传输.
Hide meshes using refraction or thin surface transmission from camera view in this lighting pass.;使用折射或薄表面传输从相机视图中隐藏 meshes 在这个照明通道中.
Contrast used when displaying displacement.;显示迁移时使用的对比。
Controls the position, rotation, and various post effects related to camera objects.;控制位置,旋转,以及与相机物体相关的各种后效应.
Controls the position and rotation of group objects.;控制组对象的位置和旋转。
Controls the position, rotation, and properties of imported meshes.;控制导入 meshes 的位置、旋转和属性。
Controls global scene options like scene scale.;控制全局场景选项, 如场景规模 。
Controls the sky lighting, including image-based lighting, child lights, and backdrop style.;控制天空照明,包括基于图像的照明,儿童照明,以及背景风格.
Marks this object as the current camera target.;将此对象标为当前相机目标.
Controls object location.;控制对象位置 。
Controls object orientation.;控制对象方向。
Controls object size.;控制对象大小。
Use these controls to move the camera forward, left, back, right, up, and down.;使用这些控制器将相机向前,左,后,右,上,下移动.
Controls how fast the camera pans through the scene. For complex environments, it can be helpful to set this value manually.;控制摄像头通过场景的速度 对于复杂的环境,手动设置这个值会有所帮助.
Use these controls to pan the camera.;用这些控件把摄像机盖上
When enabled, the camera will rotate around a point in the scene. When disabled, the camera will act as a free look or first-person shooter style camera.;启用后,相机将围绕场景中的某个点旋转. 禁用时,相机将起到自由外观或第一人称射击风格的相机的作用.
